pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S09,S09,goal1,S09goal1,,circ5,Save for bigger house,Housing,circ5,S09goal1circ5,Long term,,Finances,No,,event-internal,Buying wants,Psychosocial Factors,Psychosocial,No,No,No,an hour or less,,every 6 months,,,Brought me temporary joy,,Emotional,,,Bought things I didn’t need for temporary happiness,Spent money that should have saved,Other,changed goal changes value based on updated code,,,,,
S126,S135,goal1,S126goal1,,circ1,Lose weight,Weight management,circ1,S126goal1circ1,Long term,,Work,No,,event-external,My work schedule,Living and Working Conditions,Living/Working,,No,Yes,multiple days to a week,,weekly,,,"Besides being physically tired, I struggled with feelings of being mentally tired and overwhelmed.",N/A,Emotional,,,"Overall, because of the disruption in my schedule, I was tired and less motivated to engage in activities. I identify to help me lose weight.","I tried to walk more at work and take stairs since I could not engage in my set exercise routine. While I couldn’t cook healthy dinners, I did try to select healthy options when ordering takeout food.",Substituted activity,,,,,,
S127,S136,goal1,S127goal1,,circ3,lose 44 pounds,Weight management,circ2,S127goal1circ2,Medium term,,Housework,No,,barrier-unconfident,got preoccupied with doing other things,Psychosocial Factors,Psychosocial,,No,No,multiple months to a year,,daily,okay,recurring,I am upset about how I failed.,,Emotional,,,"I thought when I had the time I would get back to doing what I had been doing, but I am getting farther and farther from that everyday.","When I get busy doing other things, I forget my goal to lose weight.",Abandoned,,,,,,
S127,S136,goal1,S127goal1,,circ1,lose 44 pounds,Weight management,circ1,S127goal1circ1,Medium term,,Pain,No,,event-internal,pain prevented me from continuing my exercise routine,Behaviors and Biological Factors,Behavior/Biological,,No,No,multiple weeks to a month,,daily,,,"I hated not being able to continue and felt that I lost the physical, mental, and emotional progress I had made.","Because of the stress I felt, I choose to read more, to play mobile phone games, and to take medication to control my emotions.",Emotional,Logistical,,"My feet and legs hurt too bad, and my actions made me progressively more fatigued.",I stopped my outdoor and gym walking activities,Abandoned,,,,,,
S109,S117,goal2,S109goal2,,circ1,Saving $150 a month,Financial Stability/Safety,circ1,S109goal2circ1,Medium term,,Finances,No,,event-internal,School shopping,Living and Working Conditions,Psychosocial,No,No,No,multiple days to a week,,every other week,,,I was stressed that I had to buy last minute things,Na,Emotional,,,Na,I had to spend extra money on buying school supplies,Skipped,,,,,,
S112,S120,goal4,S112goal4,,circ1,bring my credit score up,Financial Stability/Safety,circ1,S112goal4circ1,Long term,,Finances,No,insufficient income,barrier,make less money,Psychosocial Factors,Psychosocial,No,No,Yes,longer than a year,,monthly,,,im tired,na,Financial,,,i cant afford to pay my monthly bills,,Abandoned,,,,,,
S116,S124,goal2,S116goal2,,circ2,Eat three meals a day,Nutrition,circ2,S116goal2circ2,Medium term,,Finances,No,,barrier,Financial strain,Psychosocial Factors,Psychosocial,,No,Yes,longer than a year,,weekly,,,Stress,na,Emotional,Financial,,Not always having enough money to spend on nourishing food.,"Working more, trying to budget my money",Changed strategy-other,,,,,,
S128,S137,goal2,S128goal2,,circ1,Putting an extra $500 a month towards retirement,Financial Stability/Safety,circ1,S128goal2circ1,Medium term,,Health,No,,event-external,Recovering from surgery,Psychosocial Factors,Behavior/Biological,,No,No,multiple months to a year,,yearly or less,,,"I emotionally tired and drained from surgery, because I had to have my daughter assist me with moving from one place to another in my home.",None,Emotional,,,"Although, I was not feeling well. I still had to pay for the necessities of life. Water bill, electricity, gas, etc. So, you have to motivate yourself.",I delayed putting money in retirement for 3 months while recovering from surgery.,Paused,,,,,,
S129,S138,goal2,S129goal2,,circ1,Increased prayer and Bible study,Mental health and wellbeing,circ1,S129goal2circ1,Medium term,,Entertainment,No,,barrier-unconfident,Cell phone,Psychosocial Factors,Psychosocial,,No,No,an hour or less,,daily,,,,,No response,,,Spent more time than I intended on different apps.,"When I noticed I was looking at my cell phone while praying or doing Bible study, I intentionally put it down and/or turned it away from me.",Skipped,,,,,,
S129,S138,goal2,S129goal2,,circ3,Increased prayer and Bible study,Mental health and wellbeing,circ3,S129goal2circ3,Medium term,,Housework,No,,barrier-unconfident,Housework,Living and Working Conditions,Living/Working,,No,No,no disruption to Increased prayer and Bible study due to Housework,,weekly,,,NA,none,No response,,,,I scheduled times to do housework and not during Bible study time.,Rescheduled,,,,,,
S129,S138,goal1,S129goal1,,circ1,Exercise regularly,Physical Activity,circ1,S129goal1circ1,Medium term,,Pain,No,,barrier-unconfident,Old injury flare-up,Behaviors and Biological Factors,Behavior/Biological,,No,No,multiple months to a year,,yearly or less,,,,,No response,,,,"Limited mobility, so I kept my exercise schedule and did what I could do without further injury.",Substituted activity,,,,,,
S13,S13,goal1,S13goal1,,circ2,Eat healthier meals,Nutrition,circ2,S13goal1circ2,Medium term,,Diet,No,,not enough information,Unexpectedly ran out of groceries,Psychosocial Factors,Psychosocial,No,No,No,more than an hour to half a day,,monthly,,,felt frustrated,,Emotional,,,"Felt too tired to plan a new meal, ended up eating unhealthy takeout","Skipped meal prep, ordered takeout instead",Skipped,,,,,,
S13,S13,goal3,S13goal3,,circ1,Exercise daily,Physical Activity,circ1,S13goal3circ1,Medium term,,Pain,No,,event-internal,Had a headache,Psychosocial Factors,Behavior/Biological,No,No,No,more than an hour to half a day,,monthly,,,"Felt tired, a bit irritable",,Emotional,,,Couldn't gather the energy to exercise,Skipped the exercise session,Skipped,,,,,,
S117,S125,goal2,S117goal2,,circ1,To fix my scalp issues,Health - other,circ1,S117goal2circ1,Medium term,r33,Finances,Yes,,barrier,Have not had money for care products,Psychosocial Factors,Psychosocial,Yes,No,Yes,multiple weeks to a month,,daily,,,Na,Na,Financial,,,Na,Trying to find cheaper options,Paused,,,,,,
S117,S125,goal3,S117goal3,,circ1,To loose fat,Physical Activity,circ1,S117goal3circ1,Long term,r33,Finances,Yes,,barrier,Can't afford to eat healthy,Behaviors and Biological Factors,Psychosocial,Yes,No,Yes,longer than a year,,daily,not okay,non-recurring,I can't get healthy if I don't loose weight,Na,Financial,,,If you can only afford carbs you keep gaining weight,Attempting to eat as healthy as I can afford,No change,,,,,,
S13,S13,goal1,S13goal1,,circ1,Eat healthier meals,Nutrition,circ1,S13goal1circ1,Medium term,,Internal - Feelings and thoughts,No,,event-internal,Craving comfort food due to stress,Psychosocial Factors,Psychosocial,No,No,No,more than an hour to half a day,,weekly,,,"increased anxiety, felt guilty",,Emotional,,, ,"Skipped meal prep, chose quick unhealthy snacks instead",Skipped,,,,,,
S13,S13,goal2,S13goal2,,circ1,Stay connected with family,Social connection,circ1,S13goal2circ1,Medium term,,Internal - Feelings and thoughts,No,,event-internal,Felt too anxious to make phone calls,Psychosocial Factors,Psychosocial,No,No,No,more than an hour to half a day,,weekly,,,"Increased anxiety, felt guilty",,Emotional,,, ,Sent text messages instead of calling,Substituted activity,,,,,,
S13,S13,goal2,S13goal2,,circ2,Stay connected with family,Social connection,circ2,S13goal2circ2,Medium term,,Social interaction - other,No,,event-external,Family member was busy with work,Social and Community Networks,Social/Community,No,No,No,more than an hour to half a day,,weekly,,,"Felt lonely, a bit anxious",,Emotional,,,Couldn't have our usual phone chat,Rescheduled the call for another day,Rescheduled,,,,,,
S13,S13,goal4,S13goal4,,circ1,Manage anxiety,Mental health and wellbeing,circ1,S13goal4circ1,Medium term,,Social interactions - negative,No,,event-external,Saw negative news in the media,Psychosocial Factors,Psychosocial,No,No,No,more than an hour to half a day,,weekly,,,"Increased anxiety, felt sad",,Emotional,,,Couldn't focus on relaxation techniques,"Skipped relaxation exercises, tried distracting myself with chores",Skipped,,,,,,
S130,S139,goal1,S130goal1,,circ1,Have 1-2 months worth of rent and bills in savings,Financial Stability/Safety,circ1,S130goal1circ1,Medium term,,Employment,No,,event-external,Poor market sales-- people are have pulled back on spending/ Harder to get into events to sell my work,Living and Working Conditions,Living/Working,,No,No,longer than a year,,weekly,,,"Lots of anxiety and doubt, tired and stressed",none,Emotional,Logistical,,"Seeking out other ppportunities to earn income: consigning in shops, picking up more client work","Trying to find other options to gain a larger, further reach for new customers",Substituted activity,changed from paused because substituted to alternate workplace,,,,,
S130,S139,goal2,S130goal2,,circ1,Pick up more contract work,Work/Career,circ1,S130goal2circ1,Medium term,,No disruption,No,,not enough information,n/a,,No response,,No,No,No response,,No response,,,none,none,No response,,,none,none,No response,,,,,,
S117,S125,goal1,S117goal1,,circ2,To get my teeth pulled,Health - other,circ2,S117goal1circ2,Medium term,r33,Finances,No,,barrier,Issues earning money,Psychosocial Factors,Psychosocial,Yes,No,Yes,longer than a year,,monthly,,,Can't afford to eat healthy and buy supliments,I can't afford anything extra often can't afford basic needs,Financial,,,I can't afford better denture care,I tried to get transport,No response,,,,,,
S130,S139,goal1,S130goal1,,circ4,Have 1-2 months worth of rent and bills in savings,Financial Stability/Safety,circ3,S130goal1circ3,Medium term,,Social interaction - other,No,,event-external,Had to support roommate by covering their portion of bills,Social and Community Networks,Social/Community,,No,No,multiple months to a year,,monthly,,,Tired and kinda resentful,Took out business loans when they were offered just to keep stuff moving and product stocked so I had something sell,Emotional,Logistical,,Drained my savings and ended up just paying catch up all the time,Just having to readjust my expectations and differ any larger investments in my business,Changed strategy-other,,,,,,
S130,S139,goal3,S130goal3,"S130goal2, S130goal1",circ1,Finish tailoring my jacket and vest,Recreation,circ1,S130goal3circ1,Medium term,,Work,No,,barrier-unconfident,Hussling markets and clientwork,Living and Working Conditions,Living/Working,,No,No,multiple weeks to a month,,monthly,,,n/a,n/a,No response,,,Those take precedence over personal projects,It hasn't. Just sits in the to do pile when I have time to work on them,Skipped,,,,,,
S131,S140,goal1,S131goal1,,circ1,Exercise 4 days a week.,Physical Activity,circ1,S131goal1circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier,In a depressive state.,Psychosocial Factors,Psychosocial,,No,No,longer than a year,,daily,okay,recurring,Lost interest in everything and feeling sad all the time.,NA,Emotional,,,Grieving loss.,Sunbathing 10 minutes at least 19 minutes per day.,Abandoned,,,,,,
S131,S140,goal2,S131goal2,,circ1,Be more assertive toward future.,Mental health and wellbeing,circ1,S131goal2circ1,Aspirational,,Internal - Feelings and thoughts,Yes,,barrier,Feeling bad about myself.,Psychosocial Factors,Psychosocial,,No,No,longer than a year,,daily,okay,recurring,No motivation to plan future.,Helping others makes me feel good about myself.,Emotional,,,I don’t feel I’m worthy to have a bright future.,I have to do things make me feel good about myself.,No change,,,,,,
